iter	Passed	Remaining
0	151	151171
1	152	75859
2	152	50700
3	153	38115
4	153	30568
5	154	25531
6	154	21935
7	155	19240
8	155	17170
9	156	15503
10	157	14158
11	158	13033
12	158	12065
13	159	11229
14	159	10504
15	160	9870
16	160	9309
17	162	8843
18	162	8408
19	163	8009
20	164	7647
21	164	7317
22	165	7013
23	165	6735
24	166	6480
25	166	6243
26	167	6024
27	167	5830
28	169	5659
29	169	5484
30	170	5322
31	170	5167
32	171	5020
33	171	4886
34	172	4756
35	173	4633
36	173	4522
37	174	4416
38	175	4326
39	176	4226
40	176	4132
41	177	4041
42	177	3955
43	178	3871
44	178	3792
45	179	3718
46	180	3659
47	181	3597
48	182	3532
49	182	3468
50	183	3405
51	183	3345
52	184	3291
53	184	3236
54	186	3196
55	187	3155
56	187	3105
57	188	3057
58	188	3010
59	189	2964
60	189	2920
61	190	2878
62	190	2837
63	191	2800
64	192	2766
65	193	2733
66	193	2697
67	193	2658
68	194	2623
69	194	2590
70	195	2558
71	196	2526
72	196	2495
73	197	2465
74	197	2437
75	198	2416
76	199	2389
77	199	2363
78	200	2338
79	201	2312
80	201	2287
81	202	2262
82	202	2239
83	203	2215
84	203	2191
85	204	2171
86	204	2148
87	205	2130
88	206	2110
89	206	2091
90	207	2071
91	207	2051
92	208	2032
93	209	2014
94	209	1996
95	210	1978
96	211	1965
97	211	1949
98	212	1932
99	212	1916
100	213	1900
101	213	1881
102	214	1865
103	214	1850
104	215	1835
105	215	1821
106	216	1808
107	226	1873
108	227	1858
109	227	1844
110	228	1830
111	229	1816
112	229	1802
113	230	1791
114	231	1784
115	232	1770
116	232	1757
117	233	1744
118	233	1731
119	234	1718
120	234	1706
121	235	1694
122	235	1681
123	236	1669
124	237	1664
125	238	1653
126	238	1642
127	239	1630
128	239	1619
129	240	1609
130	241	1600
131	241	1589
132	242	1579
133	243	1575
134	244	1567
135	245	1557
136	245	1548
137	246	1538
138	246	1528
139	247	1519
140	247	1510
141	248	1501
142	250	1500
143	250	1492
144	251	1483
145	252	1474
146	252	1466
147	253	1458
148	253	1449
149	254	1441
150	255	1434
151	255	1427
152	256	1421
153	257	1413
154	257	1405
155	258	1398
156	258	1390
157	259	1382
158	259	1374
159	260	1367
160	260	1360
161	262	1357
162	263	1351
163	263	1344
164	264	1337
165	264	1330
166	265	1324
167	265	1317
168	266	1310
169	266	1303
170	267	1296
171	268	1291
172	269	1287
173	269	1281
174	270	1274
175	271	1269
176	271	1263
177	272	1257
178	272	1251
179	273	1245
180	273	1238
181	275	1236
182	275	1231
183	276	1225
184	276	1220
185	277	1214
186	278	1208
187	278	1203
188	279	1197
189	279	1192
190	280	1186
191	281	1185
192	282	1179
193	282	1174
194	283	1169
195	283	1164
196	284	1159
197	285	1154
198	285	1149
199	286	1144
200	286	1140
201	287	1136
202	289	1134
203	289	1130
204	290	1125
205	290	1120
206	291	1116
207	291	1111
208	292	1107
209	295	1110
210	295	1105
211	296	1100
212	296	1096
213	297	1091
214	297	1087
215	298	1083
216	299	1079
217	299	1075
218	300	1072
219	301	1068
220	302	1065
221	302	1061
222	303	1057
223	304	1054
224	305	1050
225	307	1054
226	308	1051
227	309	1047
228	310	1045
229	311	1041
230	311	1037
231	314	1039
232	315	1037
233	315	1034
234	316	1030
235	317	1026
236	317	1023
237	318	1019
238	319	1018
239	320	1015
240	321	1012
241	322	1008
242	322	1004
243	323	1001
244	323	998
245	324	994
246	325	991
247	326	990
248	327	987
249	328	984
250	328	980
251	329	976
252	329	973
253	330	969
254	330	966
255	331	963
256	332	961
257	333	959
258	334	955
259	334	953
260	335	949
261	335	946
262	336	943
263	337	939
264	338	938
265	339	937
266	340	933
267	340	930
268	341	927
269	342	924
270	342	921
271	343	918
272	343	915
273	344	913
274	345	910
275	346	908
276	347	905
277	347	903
278	348	900
279	349	898
280	349	895
281	351	895
282	352	893
283	353	890
284	353	887
285	354	884
286	354	881
287	355	878
288	356	876
289	356	873
290	357	871
291	358	869
292	359	866
293	359	863
294	360	861
295	360	858
296	361	855
297	362	853
298	362	850
299	363	848
300	364	846
301	364	843
302	365	841
303	366	838
304	366	835
305	367	833
306	368	830
307	368	828
308	369	826
309	370	824
310	370	821
311	371	819
312	372	816
313	372	814
314	373	811
315	373	809
316	374	806
317	374	803
318	375	801
319	376	799
320	377	797
321	377	795
322	378	792
323	378	790
324	379	787
325	379	785
326	380	782
327	380	780
328	381	778
329	382	776
330	382	774
331	383	771
332	383	769
333	384	766
334	385	764
335	385	762
336	386	759
337	386	757
338	387	755
339	387	752
340	388	751
341	389	749
342	390	747
343	390	745
344	391	742
345	391	740
346	392	738
347	392	735
348	393	733
