iter	Passed	Remaining
0	137	137413
1	138	68927
2	138	46081
3	139	34662
4	139	27810
5	140	23239
6	140	19986
7	141	17537
8	142	15692
9	143	14187
10	143	12938
11	144	11893
12	144	11008
13	145	10249
14	146	9592
15	146	9016
16	147	8514
17	148	8099
18	149	7694
19	149	7328
20	150	6997
21	150	6696
22	151	6421
23	151	6168
24	152	5936
25	152	5723
26	153	5524
27	154	5358
28	155	5191
29	155	5031
30	156	4884
31	156	4743
32	157	4610
33	157	4486
34	158	4368
35	158	4257
36	159	4151
37	160	4062
38	161	3967
39	161	3879
40	162	3794
41	162	3712
42	163	3634
43	163	3559
44	164	3488
45	164	3421
46	165	3357
47	166	3305
48	167	3246
49	167	3188
50	168	3133
51	168	3079
52	169	3027
53	170	2978
54	170	2930
55	171	2883
56	171	2839
57	172	2805
58	173	2766
59	173	2725
60	174	2686
61	175	2647
62	175	2610
63	176	2575
64	176	2540
65	177	2507
66	177	2474
67	178	2451
68	179	2420
69	179	2390
70	180	2361
71	181	2332
72	181	2305
73	182	2279
74	182	2254
75	183	2228
76	183	2204
77	185	2187
78	185	2163
79	186	2140
80	186	2118
81	187	2096
82	187	2072
83	188	2051
84	188	2031
85	189	2011
86	189	1991
87	190	1971
88	191	1960
89	192	1942
90	192	1923
91	193	1906
92	193	1888
93	194	1871
94	194	1855
95	195	1838
96	195	1822
97	196	1806
98	197	1796
99	198	1783
100	198	1769
101	199	1754
102	199	1740
103	200	1726
104	200	1713
105	201	1699
106	202	1686
107	202	1673
108	203	1660
109	203	1649
110	204	1637
111	205	1628
112	205	1616
113	206	1604
114	207	1593
115	207	1582
116	207	1569
117	208	1558
118	209	1547
119	210	1540
120	210	1531
121	211	1520
122	211	1509
123	212	1499
124	212	1489
125	213	1480
126	213	1469
127	214	1460
128	214	1451
129	215	1441
130	216	1433
131	216	1424
132	217	1415
133	217	1407
134	218	1399
135	219	1392
136	219	1384
137	220	1375
138	220	1367
139	221	1359
140	221	1351
141	223	1349
142	223	1341
143	224	1334
144	224	1326
145	225	1319
146	226	1311
147	226	1304
148	227	1297
149	227	1289
150	228	1282
151	229	1278
152	229	1271
153	230	1266
154	231	1259
155	231	1253
156	232	1246
157	232	1239
158	233	1233
159	233	1227
160	234	1220
161	234	1214
162	235	1209
163	236	1203
164	236	1198
165	237	1192
166	237	1186
167	238	1180
168	238	1174
169	239	1169
170	240	1163
171	240	1157
172	241	1154
173	242	1149
174	242	1144
175	243	1138
176	243	1133
177	244	1128
